date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:42:05	23666/23666	---M-Z	200	added ('OK')	text/html	etag:%222393c333b56496a1209a40791c092feb-ssl-df%22	https://kichibase.com/	C:/My%20Web%20Sites/kichibase/kichibase.com/index.html	(from )
16:42:05	4783/4783	---MCZ	404	error ('Not%20Found')	text/html	etag:1715838236-ssl-df	https://kichibase.com/robots.txt		(from )
16:42:07	168036/168036	---M--	200	added ('OK')	font/ttf	etag:%2250d528ed9a1f57793f4c253a85d6bc4a-ssl%22	https://kichibase.com/font/kanitlight.ttf	C:/My%20Web%20Sites/kichibase/kichibase.com/font/kanitlight.ttf	(from https://kichibase.com/)
16:42:08	2988/2988	---M--	200	added ('OK')	image/png	etag:%2259f794e6a076a4fd9e3bd6ec5c0404cb-ssl%22	https://kichibase.com/favicon-32x32.png?v=1d3601482a0992ea5f7eb2539bf0dfc9	C:/My%20Web%20Sites/kichibase/kichibase.com/favicon-32x32c7c4.png	(from https://kichibase.com/)
16:42:08	172876/172876	---M--	200	added ('OK')	font/ttf	etag:%227418a97236f1c1ab09499e26458652f6-ssl%22	https://kichibase.com/font/gmod.ttf	C:/My%20Web%20Sites/kichibase/kichibase.com/font/gmod.ttf	(from https://kichibase.com/)
16:42:09	839/839	---M--	200	added ('OK')	application/octet-stream	etag:%22e90c26a2d970f2ae0b8162da05999496-ssl%22	https://kichibase.com/manifest.webmanifest	C:/My%20Web%20Sites/kichibase/kichibase.com/manifest.webmanifest	(from https://kichibase.com/)
16:42:09	6454/6454	---M--	200	added ('OK')	image/png	etag:%225a212b4f7382d2ccd1e1f120744c794b-ssl%22	https://kichibase.com/icons/icon-48x48.png?v=1d3601482a0992ea5f7eb2539bf0dfc9	C:/My%20Web%20Sites/kichibase/kichibase.com/icons/icon-48x48c7c4.png	(from https://kichibase.com/)
16:42:10	14065/14065	---M--	200	added ('OK')	image/png	etag:%22ddccf8bf797b8ebbe3b053c963b72a8b-ssl%22	https://kichibase.com/icons/icon-72x72.png?v=1d3601482a0992ea5f7eb2539bf0dfc9	C:/My%20Web%20Sites/kichibase/kichibase.com/icons/icon-72x72c7c4.png	(from https://kichibase.com/)
16:42:11	24287/24287	---M--	200	added ('OK')	image/png	etag:%22b92a9ac35268ff1cf653e7c96460d0cd-ssl%22	https://kichibase.com/icons/icon-96x96.png?v=1d3601482a0992ea5f7eb2539bf0dfc9	C:/My%20Web%20Sites/kichibase/kichibase.com/icons/icon-96x96c7c4.png	(from https://kichibase.com/)
16:42:12	52387/52387	---M--	200	added ('OK')	image/png	etag:%22c5bd7c9541f478ceefb35fe94b1141f3-ssl%22	https://kichibase.com/icons/icon-144x144.png?v=1d3601482a0992ea5f7eb2539bf0dfc9	C:/My%20Web%20Sites/kichibase/kichibase.com/icons/icon-144x144c7c4.png	(from https://kichibase.com/)
16:42:12	91073/91073	---M--	200	added ('OK')	image/png	etag:%22eaf99e1bcf4374b7ad932d58c4abf6e2-ssl%22	https://kichibase.com/icons/icon-192x192.png?v=1d3601482a0992ea5f7eb2539bf0dfc9	C:/My%20Web%20Sites/kichibase/kichibase.com/icons/icon-192x192c7c4.png	(from https://kichibase.com/)
16:42:13	158360/158360	---M--	200	added ('OK')	image/png	etag:%220c0ede3273705d605e6e24e2425c71eb-ssl%22	https://kichibase.com/icons/icon-256x256.png?v=1d3601482a0992ea5f7eb2539bf0dfc9	C:/My%20Web%20Sites/kichibase/kichibase.com/icons/icon-256x256c7c4.png	(from https://kichibase.com/)
16:42:14	337285/337285	---M--	200	added ('OK')	image/png	etag:%22b1a7cffad0f7065974b0322e50b4675e-ssl%22	https://kichibase.com/icons/icon-384x384.png?v=1d3601482a0992ea5f7eb2539bf0dfc9	C:/My%20Web%20Sites/kichibase/kichibase.com/icons/icon-384x384c7c4.png	(from https://kichibase.com/)
16:42:15	568287/568287	---M--	200	added ('OK')	image/png	etag:%229488c6f5d56438e43b998bd89f8f3f15-ssl%22	https://kichibase.com/icons/icon-512x512.png?v=1d3601482a0992ea5f7eb2539bf0dfc9	C:/My%20Web%20Sites/kichibase/kichibase.com/icons/icon-512x512c7c4.png	(from https://kichibase.com/)
16:42:22	118693/118693	---M--	200	added ('OK')	image/png	etag:%22QbZcq5ld8v8zGFwDFfvw6A==%22	https://static.wikia.nocookie.net/evade-nextbot/images/c/c1/ElGato_transparent.png	C:/My%20Web%20Sites/kichibase/static.wikia.nocookie.net/evade-nextbot/images/c/c1/ElGato_transparent.png_;%20filename_=UTF-8''ElGato_transparent.png	(from https://kichibase.com/)
16:42:22	643183/643183	---M--	200	added ('OK')	image/gif	date:Thu,%2031%20Aug%202023%2012:30:19%20GMT	https://media.tenor.com/FYsjyvi3C7kAAAAi/rupert-cat.gif	C:/My%20Web%20Sites/kichibase/media.tenor.com/FYsjyvi3C7kAAAAi/rupert-cat.gif	(from https://kichibase.com/)
